Date,Open,High,Low,Close,Adj Close,Volume
2022-04-11,191.000000,192.800003,190.600006,192.500000,182.344193,16934265
2022-04-12,190.850006,193.800003,190.000000,193.699997,183.480881,17058042
2022-04-13,193.100006,194.199997,189.000000,189.000000,179.028839,12417807
2022-04-14,189.199997,189.199997,184.606995,187.100006,177.229095,14852015
2022-04-19,186.899994,188.199997,184.378998,185.850006,176.045044,14464961
2022-04-20,185.850006,186.699997,183.910004,186.149994,176.329193,10561945
2022-04-21,185.850006,190.149994,185.550003,188.350006,178.413147,14070083
2022-04-22,186.949997,189.399994,185.483002,186.399994,176.566010,9821942
2022-04-25,183.000000,190.050003,182.850006,188.199997,178.271042,17743596
2022-04-26,189.449997,191.399994,181.500000,183.000000,173.345383,27618541
2022-04-27,183.449997,183.449997,178.649994,181.399994,171.829788,28837640
2022-04-28,181.149994,182.100006,178.350006,179.300003,169.840591,18309214
2022-04-29,179.850006,180.949997,175.250000,177.350006,167.993469,26335292
2022-05-03,176.250000,184.050003,175.800003,183.300003,173.629562,17862408
2022-05-04,183.699997,185.300003,180.750000,184.449997,174.718887,15362971
2022-05-05,187.149994,188.850006,181.800003,182.300003,172.682312,17455503
2022-05-06,181.600006,182.076004,174.750000,175.699997,166.430511,22650310
2022-05-09,175.149994,176.500000,173.350006,173.550003,164.393951,14752449
2022-05-10,174.199997,176.100006,172.300003,173.899994,164.725464,19654351
2022-05-11,174.399994,176.899994,172.550003,176.449997,167.140945,49133140
2022-05-12,174.750000,184.250000,173.156006,178.149994,168.751266,34323296
2022-05-13,175.699997,180.600006,172.000000,180.600006,171.072006,52174642
2022-05-16,179.899994,184.850006,179.500000,181.250000,171.687714,25792488
2022-05-17,181.850006,184.268997,178.550003,182.500000,172.871765,18723561
2022-05-18,182.350006,183.050003,180.250000,180.800003,171.261444,15626519
2022-05-19,178.600006,180.500000,177.000000,179.600006,170.124771,26359904
2022-05-20,180.350006,185.000000,178.350006,185.000000,175.239868,20969668
2022-05-23,186.350006,187.649994,184.500000,187.550003,177.655334,23210958
2022-05-24,186.600006,191.149994,185.899994,190.550003,180.497070,19939280
2022-05-25,191.000000,193.199997,187.699997,189.899994,179.881348,19811809
2022-05-26,182.699997,185.750000,179.063995,185.550003,175.760864,34636930
2022-05-27,185.649994,186.699997,184.100006,184.250000,174.529434,23266648
2022-05-30,184.550003,185.699997,182.500000,183.949997,174.245270,15304716
2022-05-31,182.399994,191.250000,181.750000,187.250000,177.371170,225022557
2022-06-01,187.899994,190.300003,186.149994,187.600006,177.702713,39743425
2022-06-06,185.149994,187.899994,183.300003,184.899994,175.145142,72550387
2022-06-07,185.100006,185.636993,179.600006,180.399994,170.882553,83921246
2022-06-08,182.500000,182.500000,178.863007,181.199997,171.640335,43575126
2022-06-09,180.649994,182.800003,179.949997,181.250000,171.687714,32808196
2022-06-10,182.050003,182.050003,176.556000,178.149994,168.751266,45295395
2022-06-13,174.600006,181.100006,174.600006,179.500000,170.030045,17513513
2022-06-14,179.949997,183.300003,178.899994,179.649994,170.172119,25003369
2022-06-15,180.199997,183.750000,179.000000,182.199997,172.587585,35633474
2022-06-16,182.949997,184.000000,180.000000,180.000000,170.503662,34539395
2022-06-17,180.699997,182.100006,178.550003,180.199997,170.693115,82941126
2022-06-20,182.000000,188.550003,181.449997,188.449997,178.507858,30437205
2022-06-21,187.800003,190.800003,186.350006,186.350006,176.518646,31437874
2022-06-22,187.000000,187.850006,179.600006,181.550003,171.971893,34526873
2022-06-23,181.899994,186.699997,181.656006,185.149994,175.381958,32032598
2022-06-24,184.550003,188.850006,184.350006,188.500000,178.555222,22508317
2022-06-27,189.100006,190.600006,182.300003,184.949997,175.192505,31019543
2022-06-28,186.649994,192.910004,185.750000,192.300003,182.154739,31670587
2022-06-29,192.399994,194.899994,190.649994,191.649994,181.539032,59425110
